dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE51575	31608	0.00223	6.2864683	LOC284215	6.2864683	Up
GSE51575	48428	0.03859	-3.5971693	DLX4	3.5971693	Down
GSE51575	29019	0.03859	2.7849962	TSHZ2	2.7849962	Up
GSE62254	224754_at	2.97e-15	0.296	SP1	0.296	Up
GSE62254	202520_s_at	2.97e-15	0.413	MLH1	0.413	Up
GSE62254	222244_s_at	4.01e-15	0.368	TUG1	0.368	Up
GSE62254	244190_at	7.84e-15	-0.191	THAP5	0.191	Down
GSE62254	238068_at	1.21e-14	0.254		0.254	Up
GSE62254	218607_s_at	1.08e-14	-0.273	SDAD1	0.273	Down
GSE62254	202909_at	1.33e-13	0.402	EPM2AIP1	0.402	Up
GSE62254	204048_s_at	2.23e-12	0.269	PHACTR2	0.269	Up
GSE62254	239098_at	5.69e-12	-0.281	KCNRG	0.281	Down
GSE62254	231768_at	4.54e-12	-0.193	USF1	0.193	Down
GSE62254	227847_at	5.69e-12	0.375	EPM2AIP1	0.375	Up
GSE62254	235405_at	5.98e-12	0.342	GSTA4	0.342	Up
GSE62254	1554047_at	5.69e-12	-0.317	TXNDC9	0.317	Down
GSE62254	219487_at	5.69e-12	0.319	BBS10	0.319	Up
GSE62254	225541_at	6.99e-12	-0.413	RPL22L1	0.413	Down
GSE62254	240288_at	1.44e-11	-0.261	KCNRG///TRIM13	0.261	Down
GSE62254	216020_at	1.96e-11	-0.229	IFIH1	0.229	Down
GSE62254	235079_at	6.89e-11	0.549	ZNF704	0.549	Up
GSE62254	201737_s_at	6.89e-11	0.312	MARCH6	0.312	Up
GSE62254	210758_at	7e-11	-0.334	PSIP1	0.334	Down
GSE62254	205966_at	1.19e-10	-0.253	TAF13	0.253	Down
GSE62254	1559121_s_at	1.37e-10	0.222		0.222	Up
GSE62254	242277_at	1.37e-10	0.31		0.31	Up
GSE62254	211758_x_at	1.37e-10	0.219	TXNDC9	0.219	Up
GSE62254	201986_at	1.55e-10	0.193	MED13	0.193	Up
GSE62254	36564_at	2.17e-10	-0.245	RNF19B	0.245	Down
GSE62254	229528_at	2.84e-10	0.215	SBNO1	0.215	Up
GSE62254	201369_s_at	3.68e-10	0.28	ZFP36L2	0.28	Up
GSE62254	231152_at	4.7e-10	0.226	INO80D	0.226	Up
GSE62254	230085_at	5.99e-10	0.332	PDK3	0.332	Up
GSE62254	227783_at	5.99e-10	-0.196	CCDC57	0.196	Down
GSE62254	212229_s_at	6.11e-10	0.229	FBXO21	0.229	Up
GSE62254	218101_s_at	7.1e-10	0.17	NDUFC2-KCTD14///NDUFC2	0.17	Up
GSE62254	203590_at	6.83e-10	0.187	DYNC1LI2	0.187	Up
GSE62254	227719_at	7.76e-10	0.434	SMAD9	0.434	Up
GSE62254	242671_at	8.65e-10	0.379		0.379	Up
GSE62254	229871_at	9.98e-10	0.296	SAMD4B	0.296	Up
GSE62254	214857_at	9.51e-10	-0.256	RPARP-AS1	0.256	Down
GSE62254	228545_at	9.96e-10	0.234	ZNF148	0.234	Up
GSE62254	226880_at	1.39e-09	0.218	NUCKS1	0.218	Up
GSE62254	226085_at	1.56e-09	0.306	CBX5	0.306	Up
GSE62254	243259_at	1.94e-09	-0.204	ATXN7	0.204	Down
GSE62254	1555464_at	2.29e-09	-0.273	IFIH1	0.273	Down
GSE62254	242594_at	2.29e-09	-0.393	BOD1L1	0.393	Down
GSE62254	204049_s_at	2.96e-09	0.202	PHACTR2	0.202	Up
GSE62254	224943_at	3.82e-09	0.219	BTBD7	0.219	Up
GSE62254	203008_x_at	3.53e-09	0.212	TXNDC9	0.212	Up
GSE62254	212608_s_at	4.19e-09	0.275	NUDT3	0.275	Up
GSE62254	209071_s_at	4.51e-09	0.405	RGS5	0.405	Up
GSE62254	215505_s_at	4.83e-09	-0.208	STRN3	0.208	Down
GSE62254	221473_x_at	6.63e-09	0.211	SERINC3	0.211	Up
GSE62254	213038_at	7e-09	-0.229	RNF19B	0.229	Down
GSE62254	229943_at	7.04e-09	0.296	TRIM13	0.296	Up
GSE62254	218242_s_at	7.44e-09	0.189	KMT5B	0.189	Up
GSE62254	205841_at	8.44e-09	-0.38	JAK2	0.38	Down
GSE62254	217550_at	1.09e-08	0.182	ATF6	0.182	Up
GSE62254	228774_at	1.09e-08	-0.186	CEP78	0.186	Down
GSE62254	209940_at	1.38e-08	-0.212	PARP3	0.212	Down
GSE62254	219624_at	1.5e-08	-0.307	BAG4	0.307	Down
GSE62254	230795_at	1.77e-08	0.343		0.343	Up
GSE62254	204630_s_at	1.73e-08	0.172	GOSR1	0.172	Up
GSE62254	217847_s_at	1.77e-08	-0.146	THRAP3	0.146	Down
GSE62254	205519_at	2.23e-08	-0.229	WDR76	0.229	Down
GSE62254	211769_x_at	2.2e-08	0.211	SERINC3	0.211	Up
GSE62254	218353_at	2.23e-08	0.396	RGS5	0.396	Up
GSE62254	219133_at	2.3e-08	-0.147	OXSM	0.147	Down
GSE62254	223545_at	2.33e-08	-0.227	FANCD2	0.227	Down
GSE62254	225625_at	2.59e-08	-0.175	ALKBH2	0.175	Down
GSE62254	210751_s_at	3.05e-08	0.419	RGN	0.419	Up
GSE62254	210822_at	3.31e-08	0.118	RPL13P5///LRRC23	0.118	Up
GSE62254	241547_at	3.34e-08	0.474	A1CF	0.474	Up
GSE62254	204020_at	3.47e-08	0.189	PURA	0.189	Up
GSE62254	241252_at	3.31e-08	-0.121	ESCO2	0.121	Down
GSE62254	220089_at	3.89e-08	-0.21	L2HGDH	0.21	Down
GSE62254	213048_s_at	4.12e-08	0.128	SET	0.128	Up
GSE62254	223366_at	4.12e-08	0.431	ZNF704	0.431	Up
GSE62254	242787_at	4.12e-08	-0.307		0.307	Down
GSE62254	244035_at	4.4e-08	-0.123		0.123	Down
GSE62254	221499_s_at	4.36e-08	0.191	STX16	0.191	Up
GSE62254	207705_s_at	4.68e-08	0.349	NINL	0.349	Up
GSE62254	206653_at	4.68e-08	-0.405	POLR3G	0.405	Down
GSE62254	221064_s_at	5.34e-08	0.135	UNKL	0.135	Up
GSE62254	213304_at	5.1e-08	0.244	FAM179B	0.244	Up
GSE62254	205842_s_at	5.37e-08	-0.365	JAK2	0.365	Down
GSE62254	213164_at	5.49e-08	0.25	SLC5A3	0.25	Up
GSE62254	234932_s_at	6.85e-08	-0.212	CDCP1	0.212	Down
GSE62254	228694_at	7.16e-08	0.222	AQR	0.222	Up
GSE62254	222791_at	7.09e-08	0.183	RSBN1	0.183	Up
GSE62254	227484_at	7.47e-08	0.273	SRGAP1	0.273	Up
GSE62254	218451_at	1.04e-07	-0.186	CDCP1	0.186	Down
GSE62254	228088_at	1.3e-07	0.284	SESTD1	0.284	Up
GSE62254	234969_s_at	1.44e-07	0.167	EPC1	0.167	Up
GSE62254	242133_s_at	1.51e-07	0.264	LOC654342///LOC645166	0.264	Up
GSE62254	204042_at	1.51e-07	0.4	WASF3	0.4	Up
GSE62254	221680_s_at	1.51e-07	-0.225	ETV7	0.225	Down
GSE62254	226764_at	1.73e-07	0.249	ZNF827	0.249	Up
GSE62254	226748_at	1.73e-07	-0.164	LYSMD2	0.164	Down
GSE62254	219148_at	1.86e-07	-0.316	PBK	0.316	Down
GSE62254	203697_at	1.93e-07	0.392	FRZB	0.392	Up
GSE62254	1557985_s_at	1.93e-07	-0.176	CEP78	0.176	Down
GSE62254	212952_at	1.93e-07	0.118		0.118	Up
GSE62254	237281_at	1.59e-07	-0.118	AKAP14	0.118	Down
GSE62254	225178_at	2.18e-07	0.235	TTC14	0.235	Up
GSE62254	231065_at	2.18e-07	-0.139	PDE6D	0.139	Down
GSE62254	229333_at	2.32e-07	-0.212	GMPS	0.212	Down
GSE62254	213627_at	2.51e-07	0.186	MAGED2	0.186	Up
GSE62254	215693_x_at	2.58e-07	0.193	DDX27	0.193	Up
GSE62254	235574_at	2.61e-07	-0.354	GBP4	0.354	Down
GSE62254	200628_s_at	2.6e-07	-0.349	WARS	0.349	Down
GSE62254	203799_at	2.6e-07	0.318	LY75-CD302///CD302///LY75	0.318	Up
GSE62254	202308_at	2.6e-07	-0.248	SREBF1	0.248	Down
GSE62254	210387_at	2.86e-07	0.356	HIST1H2BJ///HIST1H2BG	0.356	Up
GSE62254	1556284_at	2.58e-07	-0.184	PPA2	0.184	Down
GSE62254	203924_at	2.88e-07	0.802	GSTA1	0.802	Up
GSE62254	227444_at	2.86e-07	0.287	ARMCX4	0.287	Up
GSE62254	202293_at	2.88e-07	-0.16	STAG1	0.16	Down
GSE62254	215596_s_at	2.88e-07	0.179	LTN1	0.179	Up
GSE62254	213051_at	3.04e-07	0.18	ZC3HAV1	0.18	Up
GSE62254	209070_s_at	3.19e-07	0.342	RGS5	0.342	Up
GSE62254	239790_s_at	3.37e-07	-0.189		0.189	Down
GSE62254	226979_at	3.57e-07	0.186	MAP3K2	0.186	Up
GSE62254	1569827_at	3.39e-07	-0.169	ATG7	0.169	Down
GSE62254	212062_at	3.73e-07	0.254	ATP9A	0.254	Up
GSE62254	241813_at	3.81e-07	-0.298	MBD1	0.298	Down
GSE62254	226661_at	3.73e-07	-0.263	CDCA2	0.263	Down
GSE62254	203805_s_at	3.96e-07	-0.183	FANCA	0.183	Down
GSE62254	219478_at	3.94e-07	0.322	WFDC1	0.322	Up
GSE62254	234936_s_at	4.02e-07	0.2	CC2D2A	0.2	Up
GSE62254	213579_s_at	3.96e-07	0.151	EP300	0.151	Up
GSE62254	227006_at	4.11e-07	0.282	PPP1R14A	0.282	Up
GSE62254	235017_s_at	3.9e-07	0.152	CSRNP3	0.152	Up
GSE62254	206108_s_at	4.41e-07	-0.248	SRSF6	0.248	Down
GSE62254	238519_at	4.41e-07	0.165	DDI2///RSC1A1	0.165	Up
GSE62254	219108_x_at	4.41e-07	0.206	DDX27///SS18	0.206	Up
GSE62254	218237_s_at	4.44e-07	0.338	SLC38A1	0.338	Up
GSE62254	205774_at	4.44e-07	-0.329	F12	0.329	Down
GSE62254	220277_at	4.44e-07	0.152	CXXC4	0.152	Up
GSE62254	217506_at	4.66e-07	0.277		0.277	Up
GSE62254	226991_at	4.65e-07	0.25	NFATC2	0.25	Up
GSE62254	227931_at	4.68e-07	0.247	INO80D	0.247	Up
GSE62254	235433_at	4.97e-07	0.277	APOOL	0.277	Up
GSE62254	241599_at	5.17e-07	-0.182	LSM11	0.182	Down
GSE62254	203302_at	5.21e-07	-0.149	DCK	0.149	Down
GSE62254	1554547_at	5.28e-07	0.278	FAM13C	0.278	Up
GSE62254	236472_at	5.29e-07	0.26		0.26	Up
GSE62254	207796_x_at	5.29e-07	-0.169	KLRD1	0.169	Down
GSE62254	225180_at	5.24e-07	0.255	TTC14	0.255	Up
GSE62254	202072_at	5.29e-07	-0.16	HNRNPL	0.16	Down
GSE62254	210616_s_at	5.3e-07	0.165	SEC31A	0.165	Up
GSE62254	226416_at	5.3e-07	-0.203	ERI1	0.203	Down
GSE62254	201670_s_at	5.41e-07	0.204	MARCKS	0.204	Up
GSE62254	242431_at	5.52e-07	0.286		0.286	Up
GSE62254	204714_s_at	5.7e-07	0.545	F5	0.545	Up
GSE62254	208953_at	6.06e-07	0.193	LARP4B	0.193	Up
GSE62254	213385_at	6.16e-07	0.369	CHN2	0.369	Up
GSE62254	226575_at	6.22e-07	0.374	ZNF462	0.374	Up
GSE62254	223232_s_at	7.23e-07	0.317	CGN	0.317	Up
GSE62254	221780_s_at	7.32e-07	0.194	DDX27	0.194	Up
GSE62254	203096_s_at	8.29e-07	0.165	RAPGEF2	0.165	Up
GSE62254	232145_at	8.49e-07	0.146	C2orf68	0.146	Up
GSE62254	229304_s_at	8.78e-07	-0.236	CENPU	0.236	Down
GSE62254	203049_s_at	9.12e-07	0.163	TTC37	0.163	Up
GSE62254	236449_at	9.12e-07	-0.3	CSTB	0.3	Down
GSE62254	219921_s_at	9.27e-07	-0.2	DOCK5	0.2	Down
GSE62254	219093_at	9.27e-07	0.357	PID1	0.357	Up
GSE62254	224441_s_at	8.66e-07	-0.181	USP45	0.181	Down
GSE62254	220669_at	8.73e-07	-0.161	OTUD4	0.161	Down
GSE62254	223486_at	9.45e-07	-0.142	GTPBP8	0.142	Down
GSE62254	35201_at	9.75e-07	-0.147	HNRNPL	0.147	Down
GSE62254	235472_at	9.7e-07	-0.221	FUT10	0.221	Down
GSE62254	230897_at	9.26e-07	-0.093	CCDC30///PPCS	0.093	Down
GSE62254	206654_s_at	8.85e-07	-0.0994	POLR3G	0.0994	Down
GSE62254	1558794_at	9.12e-07	0.249	NUTM2A-AS1	0.249	Up
GSE62254	210690_at	7.22e-07	-0.0936	KLRC4	0.0936	Down
GSE62254	218108_at	1e-06	-0.121	UBR7	0.121	Down
GSE62254	239049_at	9.75e-07	0.181	CRIPT	0.181	Up
GSE62254	222503_s_at	1.04e-06	-0.176	WDR41	0.176	Down
GSE62254	229632_s_at	1.05e-06	-0.171	INTS10	0.171	Down
GSE62254	235589_s_at	1.06e-06	0.266		0.266	Up
GSE62254	214004_s_at	1.06e-06	0.154	VGLL4	0.154	Up
GSE62254	205776_at	1.07e-06	0.497	FMO5	0.497	Up
GSE62254	202984_s_at	1.08e-06	0.192	BAG5	0.192	Up
GSE62254	205875_s_at	1.08e-06	-0.197	ATRIP///TREX1	0.197	Down
GSE62254	228517_at	1.12e-06	-0.162	MEAF6	0.162	Down
GSE62254	224819_at	1.12e-06	0.28	TCEAL8	0.28	Up
GSE62254	216962_at	1.12e-06	-0.182	RPAIN	0.182	Down
GSE62254	236369_at	1.18e-06	0.194	TSPY26P	0.194	Up
GSE62254	238762_at	1.16e-06	-0.272	MTHFD2L	0.272	Down
GSE62254	222790_s_at	1.17e-06	0.154	RSBN1	0.154	Up
GSE62254	219140_s_at	1.21e-06	0.609	RBP4	0.609	Up
GSE62254	1554241_at	1.22e-06	0.179	COCH	0.179	Up
GSE62254	1553785_at	1.29e-06	-0.15	RASGEF1B	0.15	Down
GSE62254	205105_at	1.33e-06	0.217	MAN2A1	0.217	Up
GSE62254	1552648_a_at	1.33e-06	-0.201	TNFRSF10A	0.201	Down
GSE62254	200629_at	1.39e-06	-0.317	WARS	0.317	Down
GSE62254	206377_at	1.41e-06	0.343	FOXF2	0.343	Up
GSE62254	234040_at	1.18e-06	-0.14	HELLS	0.14	Down
GSE62254	231769_at	1.56e-06	-0.277	FBXO6	0.277	Down
GSE62254	226435_at	1.6e-06	0.324	PAPLN	0.324	Up
GSE62254	204693_at	1.62e-06	-0.176	CDC42EP1	0.176	Down
GSE62254	242414_at	1.61e-06	0.454	QPRT	0.454	Up
GSE62254	220951_s_at	1.62e-06	0.461	A1CF	0.461	Up
GSE62254	236978_at	1.62e-06	0.267		0.267	Up
GSE62254	230958_s_at	1.7e-06	0.219		0.219	Up
GSE62254	209309_at	1.63e-06	0.487	AZGP1	0.487	Up
GSE62254	216682_s_at	1.75e-06	0.237	SUPT20H	0.237	Up
GSE62254	219109_at	1.88e-06	0.449	SPAG16	0.449	Up
GSE62254	225975_at	1.89e-06	0.274	PCDH18	0.274	Up
GSE62254	230074_s_at	1.77e-06	-0.234	C16orf58	0.234	Down
GSE62254	226643_s_at	1.95e-06	-0.153	NUDCD2	0.153	Down
GSE62254	1570541_s_at	1.94e-06	-0.117	GBP1P1	0.117	Down
GSE62254	224889_at	1.94e-06	0.182	FOXO3	0.182	Up
GSE62254	1552849_at	1.45e-06	-0.131	M1AP	0.131	Down
GSE62254	238983_at	1.81e-06	0.291	NSUN7	0.291	Up
GSE62254	236314_at	1.84e-06	0.222	EPM2AIP1	0.222	Up
GSE62254	1554324_s_at	1.7e-06	-0.149	DYNC2LI1	0.149	Down
GSE62254	230329_s_at	2.13e-06	-0.29	NUDT6	0.29	Down
GSE62254	203116_s_at	2.13e-06	-0.206	FECH	0.206	Down
GSE62254	236814_at	2.21e-06	0.223	MDM4	0.223	Up
GSE62254	203698_s_at	2.27e-06	0.323	FRZB	0.323	Up
GSE62254	228196_s_at	2.39e-06	0.159	LARP4B	0.159	Up
GSE62254	231370_at	2.39e-06	0.154	PPM1A	0.154	Up
GSE62254	227826_s_at	2.19e-06	0.353	SORBS2	0.353	Up
GSE62254	202967_at	2.39e-06	0.309	GSTA4	0.309	Up
GSE62254	219731_at	2.46e-06	-0.156	ENTPD1-AS1	0.156	Down
GSE62254	206313_at	2.59e-06	-0.182	HLA-DOA	0.182	Down
GSE62254	229551_x_at	2.64e-06	-0.203	ZNF367	0.203	Down
GSE62254	237180_at	2.58e-06	0.204		0.204	Up
GSE62254	202307_s_at	2.76e-06	-0.217	TAP1	0.217	Down
GSE62254	229835_s_at	2.72e-06	0.213	PRELID3B	0.213	Up
GSE62254	238858_at	2.53e-06	-0.163	TIFA	0.163	Down
GSE62254	220183_s_at	2.8e-06	-0.3	NUDT6	0.3	Down
GSE62254	225614_at	2.84e-06	-0.162	SAAL1	0.162	Down
GSE62254	230733_at	2.83e-06	0.277		0.277	Up
GSE62254	225224_at	2.85e-06	0.23	NOL4L	0.23	Up
GSE62254	208846_s_at	2.91e-06	-0.182	VDAC3	0.182	Down
GSE62254	201002_s_at	2.92e-06	0.136	TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1	0.136	Up
GSE62254	210968_s_at	2.91e-06	0.166	RTN4	0.166	Up
GSE62254	228129_at	2.91e-06	0.178	SERBP1	0.178	Up
GSE62254	1553813_s_at	2.65e-06	-0.124	TLE6	0.124	Down
GSE62254	204044_at	2.92e-06	0.473	QPRT	0.473	Up
GSE62254	231029_at	2.72e-06	0.416	F5	0.416	Up
GSE62254	235190_at	3.01e-06	0.286		0.286	Up
GSE62254	243552_at	2.85e-06	0.232	MBTD1	0.232	Up
GSE62254	236224_at	2.85e-06	0.169	RIT1	0.169	Up
GSE62254	218498_s_at	3.05e-06	-0.211	ERO1A	0.211	Down
GSE62254	230033_at	3.04e-06	-0.119	DNAAF3	0.119	Down
GSE62254	239906_at	2.78e-06	-0.216		0.216	Down
GSE62254	226029_at	3.03e-06	0.365	VANGL2	0.365	Up
GSE62254	201916_s_at	3.25e-06	0.144	SEC63	0.144	Up
GSE62254	222717_at	3.38e-06	0.299	SDPR	0.299	Up
GSE62254	229704_at	3.4e-06	0.172		0.172	Up
GSE62254	34689_at	3.4e-06	-0.137	ATRIP///TREX1	0.137	Down
GSE62254	218802_at	3.4e-06	-0.233	MCUB	0.233	Down
GSE62254	213679_at	3.4e-06	0.303	TTC30A	0.303	Up
GSE62254	64474_g_at	3.45e-06	-0.122	MIR1306///DGCR8	0.122	Down
GSE62254	208459_s_at	3.45e-06	-0.159	XPO7	0.159	Down
GSE62254	1554110_at	3.48e-06	-0.186	CDCP1	0.186	Down
GSE62254	218950_at	3.48e-06	0.199	ARAP3	0.199	Up
GSE62254	222316_at	3.4e-06	0.315		0.315	Up
GSE62254	45633_at	3.5e-06	-0.216	GINS3	0.216	Down
GSE62254	1555108_at	2.85e-06	-0.074	SLC10A7	0.074	Down
GSE62254	228498_at	3.63e-06	0.204		0.204	Up
GSE62254	219202_at	3.74e-06	-0.181	RHBDF2	0.181	Down
GSE62254	231852_at	3.81e-06	-0.239	ERI1	0.239	Down
GSE62254	222697_s_at	3.87e-06	-0.195	ABHD10	0.195	Down
GSE62254	204368_at	3.94e-06	0.307	SLCO2A1	0.307	Up
GSE62254	223834_at	3.88e-06	-0.139	CD274	0.139	Down
GSE62254	212151_at	3.94e-06	0.308	PBX1	0.308	Up
GSE62254	204273_at	4.04e-06	0.348	EDNRB	0.348	Up
GSE62254	237452_at	3.94e-06	0.163		0.163	Up
GSE62254	229774_at	3.71e-06	0.187	CXXC4	0.187	Up
GSE62254	220780_at	4.2e-06	-0.199	PLA2G3	0.199	Down
GSE62254	228189_at	4.46e-06	-0.163	BAG4	0.163	Down
GSE62254	212775_at	4.02e-06	0.373	OBSL1	0.373	Up
GSE62254	209343_at	4.52e-06	0.228	EFHD1	0.228	Up
GSE62254	201669_s_at	4.57e-06	0.167	MARCKS	0.167	Up
GSE62254	222837_s_at	4.67e-06	-0.174	NAA15	0.174	Down
GSE62254	211774_s_at	4.78e-06	-0.162	MMACHC	0.162	Down
GSE62254	229305_at	4.87e-06	-0.341	CENPU	0.341	Down
GSE62254	38290_at	5.07e-06	-0.164	RGS14	0.164	Down
GSE62254	214108_at	5.09e-06	-0.14	MAX	0.14	Down
GSE62254	232809_s_at	5.1e-06	0.18	FLT1	0.18	Up
GSE62254	206486_at	5.24e-06	-0.228	LAG3	0.228	Down
GSE62254	230069_at	5.33e-06	-0.167	SFXN1	0.167	Down
GSE62254	230934_at	5.42e-06	-0.161		0.161	Down
GSE62254	41644_at	5.42e-06	0.131	SASH1	0.131	Up
GSE62254	222037_at	5.44e-06	-0.25	MCM4	0.25	Down
GSE62254	238464_at	4.63e-06	-0.16	ANKRD36	0.16	Down
GSE62254	204407_at	5.68e-06	-0.167	TTF2	0.167	Down
GSE62254	222466_s_at	5.74e-06	-0.127	MRPL42	0.127	Down
GSE62254	208022_s_at	5.74e-06	0.206	CDC14B	0.206	Up
GSE62254	1569403_at	4.33e-06	-0.0956	LOC101928716	0.0956	Down
GSE62254	223976_at	5.2e-06	-0.11	FUT10	0.11	Down
GSE62254	243539_at	5.82e-06	0.184	KIAA1841	0.184	Up
GSE62254	204713_s_at	5.82e-06	0.446	F5	0.446	Up
GSE62254	203976_s_at	5.82e-06	-0.16	CHAF1A	0.16	Down
GSE62254	209014_at	5.82e-06	0.257	MAGED1	0.257	Up
GSE62254	228033_at	5.82e-06	-0.256	E2F7	0.256	Down
GSE62254	228675_at	5.78e-06	-0.17	USP30-AS1	0.17	Down
GSE62254	238977_at	5.68e-06	-0.231	MCM6	0.231	Down
GSE62254	244886_at	5.82e-06	-0.117	LOC389641	0.117	Down
GSE62254	1569344_a_at	4.87e-06	0.406	LOC105375172	0.406	Up
GSE62254	209590_at	5.68e-06	0.3	BMP7	0.3	Up
GSE62254	205543_at	5.98e-06	-0.539	HSPA4L	0.539	Down
GSE62254	1566968_at	5.86e-06	0.147	SPRY4-IT1	0.147	Up
GSE62254	203556_at	6e-06	0.174	ZHX2	0.174	Up
GSE62254	228912_at	6.06e-06	0.492	VIL1	0.492	Up
GSE62254	205260_s_at	6.1e-06	-0.162	ACYP1	0.162	Down
GSE62254	214937_x_at	6.1e-06	-0.164	PCM1	0.164	Down
GSE62254	203227_s_at	6.1e-06	0.168	TSPAN31	0.168	Up
GSE62254	205651_x_at	5.82e-06	0.243	RAPGEF4	0.243	Up
GSE62254	200878_at	6.26e-06	0.184	EPAS1	0.184	Up
GSE62254	231775_at	6.26e-06	-0.172	TNFRSF10A	0.172	Down
GSE62254	1552490_at	5.82e-06	-0.109	LACE1	0.109	Down
GSE62254	202174_s_at	6.5e-06	-0.167	PCM1	0.167	Down
GSE62254	1555882_at	6.1e-06	0.362	SPIN3	0.362	Up
GSE62254	244054_at	6.26e-06	0.145		0.145	Up
GSE62254	219346_at	6.67e-06	-0.147	LRFN3	0.147	Down
GSE62254	216129_at	6.06e-06	0.148	ATP9A	0.148	Up
GSE62254	208682_s_at	6.92e-06	0.188	MAGED2	0.188	Up
GSE62254	48808_at	7.17e-06	-0.204	DHFR	0.204	Down
GSE62254	221555_x_at	7.16e-06	0.182	CDC14B	0.182	Up
GSE62254	210103_s_at	7.18e-06	0.26	FOXA2	0.26	Up
GSE62254	218724_s_at	7.06e-06	0.195	TGIF2	0.195	Up
GSE62254	228030_at	6.4e-06	0.22	RBM6	0.22	Up
GSE62254	1557236_at	7.39e-06	-0.241	APOL6	0.241	Down
GSE62254	213379_at	7.58e-06	-0.16	COQ2	0.16	Down
GSE62254	214077_x_at	7.72e-06	0.315	MEIS3P1	0.315	Up
GSE62254	218633_x_at	7.96e-06	-0.127	ABHD10	0.127	Down
GSE62254	210012_s_at	6.67e-06	-0.115	EWSR1	0.115	Down
GSE62254	227110_at	8.07e-06	-0.155	HNRNPC	0.155	Down
GSE62254	218646_at	8.07e-06	-0.141	HPF1	0.141	Down
GSE62254	228222_at	8.13e-06	0.133	PPP1CB	0.133	Up
GSE62254	209997_x_at	8.06e-06	-0.138	PCM1	0.138	Down
GSE62254	208716_s_at	8.07e-06	0.198	TMCO1	0.198	Up
GSE62254	201142_at	8.13e-06	-0.104	EIF2S1	0.104	Down
GSE62254	240806_at	8.07e-06	0.161	RPL15	0.161	Up
GSE62254	228449_at	8.07e-06	0.169	MORC2	0.169	Up
GSE62254	225289_at	8.4e-06	-0.129	STAT3	0.129	Down
GSE62254	215016_x_at	8.41e-06	0.272	DST	0.272	Up
GSE62254	213902_at	8.57e-06	-0.184	ASAH1	0.184	Down
GSE62254	218400_at	8.57e-06	-0.228	OAS3	0.228	Down
GSE62254	230756_at	8.62e-06	-0.0994	ZNF683	0.0994	Down
GSE62254	219051_x_at	8.67e-06	-0.199	METRN	0.199	Down
GSE62254	243299_at	8.67e-06	-0.248		0.248	Down
GSE62254	236706_at	8.57e-06	-0.123	LYG1	0.123	Down
GSE62254	227307_at	8.57e-06	0.222	TSPAN18	0.222	Up
GSE62254	1567628_at	8.59e-06	-0.198	CD74	0.198	Down
GSE62254	40284_at	9.31e-06	0.341	FOXA2	0.341	Up
GSE62254	226712_at	9.31e-06	0.174	SSR1	0.174	Up
GSE62254	219836_at	8.57e-06	-0.275	ZBED2	0.275	Down
GSE62254	225655_at	9.43e-06	-0.214	UHRF1	0.214	Down
GSE62254	232682_at	9.43e-06	-0.153	MREG	0.153	Down
GSE62254	214992_s_at	9.44e-06	-0.137	DNASE2	0.137	Down
GSE62254	201427_s_at	9.64e-06	0.425	SEPP1	0.425	Up
GSE62254	221958_s_at	9.66e-06	0.268	WLS	0.268	Up
GSE62254	235971_at	9.49e-06	-0.201	TIFA	0.201	Down
GSE62254	220751_s_at	9.86e-06	0.153	FAXDC2	0.153	Up
GSE62254	1555883_s_at	9.9e-06	0.244	SPIN3	0.244	Up
GSE62254	200886_s_at	9.62e-06	-0.095	PGAM1	0.095	Down
GSE62254	202581_at	1e-05	-0.174	HSPA1B///HSPA1A	0.174	Down
GSE62254	209222_s_at	1.01e-05	0.167	OSBPL2	0.167	Up
GSE62254	235956_at	8.93e-06	0.232	CEP126	0.232	Up
GSE62254	1555725_a_at	1.05e-05	0.321	RGS5	0.321	Up
GSE62254	235027_at	1.01e-05	0.319	ZNF736	0.319	Up
GSE62254	229829_at	1.1e-05	0.253	LINC00526	0.253	Up
GSE62254	209591_s_at	8.57e-06	0.39	BMP7	0.39	Up
GSE62254	203423_at	1.12e-05	0.374	RBP1	0.374	Up
GSE62254	211202_s_at	1.14e-05	0.163	KDM5B	0.163	Up
GSE62254	209735_at	1.14e-05	0.415	ABCG2	0.415	Up
GSE62254	205061_s_at	1.15e-05	-0.125	EXOSC9	0.125	Down
GSE62254	214119_s_at	1.18e-05	0.165	LOC101929368///FKBP1A	0.165	Up
GSE62254	207723_s_at	9.62e-06	-0.194	KLRC3	0.194	Down
GSE62254	232137_at	1e-05	-0.156	ZNF616	0.156	Down
GSE62254	220178_at	1.23e-05	-0.18	MFSD12	0.18	Down
GSE62254	1554364_at	9.66e-06	-0.117	PPP2R5C	0.117	Down
GSE62254	201549_x_at	1.29e-05	0.175	KDM5B	0.175	Up
GSE62254	237172_at	1.19e-05	-0.12		0.12	Down
GSE62254	207808_s_at	1.29e-05	0.362	PROS1	0.362	Up
GSE62254	1556126_s_at	1.27e-05	0.239		0.239	Up
GSE62254	221926_s_at	1.24e-05	-0.0922	IL17RC	0.0922	Down
GSE62254	204334_at	1.31e-05	0.2	KLF7	0.2	Up
GSE62254	215780_s_at	1.29e-05	-0.146	SETSIP///SETP4///SET	0.146	Down
GSE62254	210371_s_at	1.31e-05	-0.115	RBBP4	0.115	Down
